date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:09	33/33	---M-Z	404	error ('ERROR:%20The%20file%20requested%20could%20not%20be%20found.')	text/plain	etag:W/%22ollht5sssl4zm4da479zba==%22	http://www.glemcoparts.com/robots.txt		(from )
01:46:10	30299/30299	---M-Z	200	added ('OK')	text/html	date:Wed,%2021%20Jul%202021%2021:46:09%20GMT	http://www.glemcoparts.com/	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/index.html	(from )
01:46:10	25318/25318	---M-Z	200	added ('OK')	text/css	etag:%22aq03k5z4qk1rewjf8fpavq==%22	http://www.glemcoparts.com/StyleSheets/ModuleStyleSheets.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/StyleSheets/ModuleStyleSheets.css	(from http://www.glemcoparts.com/)
01:46:11	11942/11942	---M-Z	200	added ('OK')	image/jpeg	etag:W/%22idhweot+30mrskbgpwg4pa==%22	http://www.glemcoparts.com/images/logo-small.jpg	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/images/logo-small.jpg	(from http://www.glemcoparts.com/)
01:46:11	3067/3067	---M-Z	200	added ('OK')	text/css	etag:%22hwp6451sf1mcg9cdchpt1w==%22	http://www.glemcoparts.com/css/skdslider.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/css/skdslider.css	(from http://www.glemcoparts.com/)
01:46:11	9101/9101	---M-Z	200	added ('OK')	text/css	etag:%228nk4askk019xkmq1qy6o4q==%22	http://www.glemcoparts.com/css/menu-css.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/css/menu-css.css	(from http://www.glemcoparts.com/)
01:46:11	482/482	---MCZ	200	added ('OK')	text/css	date:Thu,%2022%20Nov%202012%2015:41:46%20GMT	http://cdn.dcodes.net/2/scroll_to_top/css/dc_ui.totop.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/cdn.dcodes.net/2/scroll_to_top/css/dc_ui.totop.css	(from http://www.glemcoparts.com/)
01:46:11	10099/10099	---M-Z	200	added ('OK')	text/css	etag:%225zlnbzndhaiu2vcgo7cruq==%22	http://www.glemcoparts.com/css/style2.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/css/style2.css	(from http://www.glemcoparts.com/)
01:46:12	3903/3903	---M-Z	200	added ('OK')	text/css	etag:%22ah74iwg+msr94ijmk4f69a==%22	http://www.glemcoparts.com/css/style3.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/css/style3.css	(from http://www.glemcoparts.com/)
01:46:12	7065/7065	---M-Z	200	added ('OK')	text/css	etag:%22sv+ikmv8/k8zgek3w/44+w==%22	http://www.glemcoparts.com/css/style4.css	C:/Users/ILQAR/Desktop/glemco-base/glemco-parts/www.glemcoparts.com/css/style4.css	(from http://www.glemcoparts.com/)
